folder,name,method,url,mutation_guard_required
v1/auth/login,[POST] api/v1/auth/login,POST,{{base_url}}/api/v1/auth/login,NO
v1/auth/forgot-password,1. [POST] api/v1/auth/forgot-password,POST,{{base_url}}/api/v1/auth/forgot-password,NO
v1/auth/forgot-password,2. [POST] api/v1/auth/verify,POST,{{base_url}}/api/v1/auth/verify,NO
v1/auth/forgot-password,3. [POST] api/v1/auth/forgot-password/reset,POST,{{base_url}}/api/v1/auth/forgot-password/reset,NO
v1/auth/verify,[POST] api/v1/auth/verify,POST,{{base_url}}/api/v1/auth/verify,NO
v1/auth/resend-verification,[POST] api/v1/auth/resend-verification,POST,{{base_url}}/api/v1/auth/resend-verification,NO
v1/auth/get-socialite-token,[GET] api/v1/auth/get-socialite-token,GET,{{base_url}}/api/v1/auth/get-socialite-token,NO
v1/auth/google-signin,[POST] api/v1/auth/google-signin,POST,{{base_url}}/api/v1/auth/google-signin,NO
v1/auth/profile,[GET] api/v1/auth/profile,GET,{{base_url}}/api/v1/auth/profile,NO
v1/auth/logout,[DELETE] api/v1/auth/logout,DELETE,{{base_url}}/api/v1/auth/logout,YES
v1/auth/change-password,[POST] api/v1/auth/change-password,POST,{{base_url}}/api/v1/auth/change-password,NO
v1/auth/users-delete-account,[DELETE] api/v1/auth/users-delete-account,DELETE,{{base_url}}/api/v1/auth/users-delete-account,YES
v1/auth/refresh-token,[GET] api/v1/auth/refresh-token,GET,{{base_url}}/api/v1/auth/refresh-token,NO
v1/auth/notifications/unread-counter,[GET] api/v1/auth/notifications/unread-counter,GET,{{base_url}}/api/v1/auth/notifications/unread-counter,NO
v1/auth/notifications/mark-all-read,[GET] api/v1/auth/notifications/mark-all-read,GET,{{base_url}}/api/v1/auth/notifications/mark-all-read,NO
v1/auth/notifications/mark-as-read,[GET] api/v1/auth/notifications/{notification}/mark-as-read,GET,{{base_url}}/api/v1/auth/notifications/:notification/mark-as-read,NO
v1/auth/notifications,[GET] api/v1/auth/notifications,GET,{{base_url}}/api/v1/auth/notifications,NO
v1/auth/signup-partner,[POST] api/v1/signup-partner,POST,{{base_url}}/api/v1/signup-partner,NO
v1/auth/signup-customer,[POST] api/v1/signup-customer,POST,{{base_url}}/api/v1/signup-customer,NO
v1/locales,[GET] api/v1/locales,GET,{{base_url}}/api/v1/locales,NO
v1/media,[DELETE] api/v1/media/{media},DELETE,{{base_url}}/api/v1/media/:media,YES
v1/extra/regions,[GET] api/v1/extra/regions,GET,{{base_url}}/api/v1/extra/regions,NO
v1/extra/regions,[GET] api/v1/extra/regions/{region},GET,{{base_url}}/api/v1/extra/regions/:region,NO
v1/extra/cities,[GET] api/v1/extra/cities,GET,{{base_url}}/api/v1/extra/cities,NO
v1/extra/cities,[GET] api/v1/extra/cities/{city},GET,{{base_url}}/api/v1/extra/cities/:city,NO
v1/extra/cities,Search Cities,GET,{{base_url}}/api/v1/extra/cities?search=city name,NO
v1/extra/sub-cities,[GET] api/v1/extra/sub-cities,GET,{{base_url}}/api/v1/extra/sub-cities,NO
v1/extra/sub-cities,[GET] api/v1/extra/sub-cities/{sub_city},GET,{{base_url}}/api/v1/extra/sub-cities/:sub_city,NO
v1/extra/cities-multiple,[GET] api/v1/extra/cities-multiple,GET,{{base_url}}/api/v1/extra/cities-multiple,NO
v1/extra/property-types,[GET] api/v1/extra/property-types,GET,{{base_url}}/api/v1/extra/property-types,NO
v1/extra/property-types,[GET] api/v1/extra/property-types/{property_type},GET,{{base_url}}/api/v1/extra/property-types/:property_type,NO
v1/extra/banks,[GET] api/v1/extra/banks,GET,{{base_url}}/api/v1/extra/banks,NO
v1/extra/banks,[GET] api/v1/extra/banks/{bank},GET,{{base_url}}/api/v1/extra/banks/:bank,NO
v1/extra/amenity-type-categories-grouped-by-facility-type Copy,[GET] api/v1/extra/amenity-type-categories-grouped-by-facility-type,GET,{{base_url}}/api/v1/extra/amenity-type-categories-grouped-by-facility-type,NO
v1/extra/amenity-type-categories-grouped-by-utility-type Copy,[GET] api/v1/extra/amenity-type-categories-grouped-by-utility-type,GET,{{base_url}}/api/v1/extra/amenity-type-categories-grouped-by-utility-type,NO
v1/extra/locations/search,[GET] api/v1/extra/locations/search,GET,{{base_url}}/api/v1/extra/locations/search,NO
v1/extra/properties/filter-counts,[GET] api/v1/extra/properties/filter-counts,GET,{{base_url}}/api/v1/extra/properties/filter-counts?city_id=019d9fcf-dfa7-71a3-9e3f-d376daadd7a0,NO
v1/extra/properties/property-type-counts,[GET] api/v1/extra/properties/property-type-counts,GET,{{base_url}}/api/v1/extra/properties/property-type-counts,NO
v1/extra/properties/city-counts,[GET] api/v1/extra/properties/city-counts,GET,{{base_url}}/api/v1/extra/properties/city-counts,NO
v1/extra/properties/room-types,[GET] api/v1/extra/properties/{branch}/room-types,GET,{{base_url}}/api/v1/extra/properties/:branch/room-types,NO
v1/extra/properties/related,[GET] api/v1/extra/properties/{branch}/related,GET,{{base_url}}/api/v1/extra/properties/:branch/related,NO
v1/extra/properties,[GET] api/v1/extra/properties,GET,{{base_url}}/api/v1/extra/properties,NO
v1/extra/properties,[GET] api/v1/extra/properties/{branch},GET,{{base_url}}/api/v1/extra/properties/:branch,NO
v1/extra/room-categories,[GET] api/v1/extra/room-categories,GET,{{base_url}}/api/v1/extra/room-categories,NO
v1/extra/room-categories,[GET] api/v1/admin/room-categories/{room_category},GET,{{base_url}}/api/v1/admin/room-categories/:room_category,NO
v1/branch-listing/property-info/Update,update - geolocation,PUT,{{base_url}}/api/v1/branch-listing/geo/:branch,YES
v1/branch-listing/property-info/Update,update - address,PUT,{{base_url}}/api/v1/branch-listing/address/:branch,YES
v1/branch-listing/property-info/Update,update - basic info,PUT,{{base_url}}/api/v1/branch-listing/basic-info/:branch,YES
v1/branch-listing/property-info,[POST] api/v1/branch-listing/property-info/{branch},POST,{{base_url}}/api/v1/branch-listing/property-info/:branch,NO
v1/branch-listing/facilities,[POST] api/v1/branch-listing/facilities/{branch},POST,{{base_url}}/api/v1/branch-listing/facilities/:branch,NO
v1/branch-listing/house-rules,[POST] api/v1/branch-listing/house-rules/{branch},POST,{{base_url}}/api/v1/branch-listing/house-rules/:branch,NO
v1/branch-listing/important-info,[POST] api/v1/branch-listing/important-info/{branch},POST,{{base_url}}/api/v1/branch-listing/important-info/:branch,NO
v1/branch-listing/progress,[GET] api/v1/branch-listing/progress/{branch},GET,{{base_url}}/api/v1/branch-listing/progress/:branch,NO
v1/branch-listing/details,[GET] api/v1/branch-listing/details/{branch},GET,{{base_url}}/api/v1/branch-listing/details/:branch,NO
v1/branch-listing/ratings,[GET] api/v1/branch-listing/ratings/{branch},GET,{{base_url}}/api/v1/branch-listing/ratings/:branch?page=1&limit=5,NO
v1/room-type-listing/category-info/Update,update - basic info,PUT,{{base_url}}/api/v1/room-type-listing/basic-info/:roomTypeId,YES
v1/room-type-listing/category-info/Update,update - capacity,PUT,{{base_url}}/api/v1/room-type-listing/capacity/:roomTypeId,YES
v1/room-type-listing/category-info,[POST] api/v1/room-type-listing/category-info/{roomType},POST,{{base_url}}/api/v1/room-type-listing/category-info,NO
v1/room-type-listing/utilities,[POST] api/v1/room-type-listing/utilities/{roomType},POST,{{base_url}}/api/v1/room-type-listing/utilities/:roomType,NO
v1/room-type-listing/breakfast-info,[POST] api/v1/room-type-listing/breakfast-info/{roomType},POST,{{base_url}}/api/v1/room-type-listing/breakfast-info/:roomType,NO
v1/room-type-listing/rooms,[POST] api/v1/room-type-listing/rooms/{roomType},POST,{{base_url}}/api/v1/room-type-listing/rooms/:roomType,NO
v1/room-type-listing/progress,[GET] api/v1/room-type-listing/progress/{roomType},GET,{{base_url}}/api/v1/room-type-listing/progress/:roomType,NO
v1/room-type-listing/details,[GET] api/v1/room-type-listing/details/{roomType},GET,{{base_url}}/api/v1/room-type-listing/details/:roomType,NO
v1/discount/active,[GET] api/v1/discount/active,GET,{{base_url}}/api/v1/discount/active,NO
v1/discount/expired,[GET] api/v1/discount/expired,GET,{{base_url}}/api/v1/discount/expired,NO
v1/discount/Scheduled,[GET] api/v1/discount/scheduled,GET,{{base_url}}/api/v1/discount/scheduled,NO
v1/discount,[GET] api/v1/discount,GET,{{base_url}}/api/v1/discount,NO
v1/discount,[POST] api/v1/discount,POST,{{base_url}}/api/v1/discount,NO
v1/discount,[GET] api/v1/discount/{discount},GET,{{base_url}}/api/v1/discount/:discount,NO
v1/discount,[PUT] api/v1/discount/{discount},PUT,{{base_url}}/api/v1/discount/:discount,YES
v1/discount,[DELETE] api/v1/discount/{discount},DELETE,{{base_url}}/api/v1/discount/:discount,YES
v1/cancellation-policy,[GET] api/v1/cancellation-policy,GET,{{base_url}}/api/v1/cancellation-policy,NO
v1/cancellation-policy,[POST] api/v1/cancellation-policy,POST,{{base_url}}/api/v1/cancellation-policy,NO
v1/cancellation-policy,[GET] api/v1/cancellation-policy/{cancellation_policy},GET,{{base_url}}/api/v1/cancellation-policy/:cancellation_policy,NO
v1/cancellation-policy,[PUT] api/v1/cancellation-policy/{cancellation_policy},PUT,{{base_url}}/api/v1/cancellation-policy/:cancellation_policy,YES
v1/cancellation-policy,[DELETE] api/v1/cancellation-policy/{cancellation_policy},DELETE,{{base_url}}/api/v1/cancellation-policy/:cancellation_policy,YES
v1/booking,[GET] api/v1/booking,GET,{{base_url}}/api/v1/bookings?user_id[]=019dc500-9dd7-70bb-bab9-ac7222bea2fe,NO
v1/booking,[GET] api/v1/booking-calendar,GET,{{base_url}}/api/v1/bookings/view/calendar?month=2&year=2026,NO
v1/booking,[POST] api/v1/booking,POST,{{base_url}}/api/v1/bookings,NO
v1/booking,[GET] api/v1/booking/{booking},GET,{{base_url}}/api/v1/bookings/:booking,NO
v1/booking,[GET] api/v1/booking/{booking} - qr callback,GET,{{base_url}}/api/v1/bookings/:booking/qr-code-callback,NO
v1/booking,[PUT] api/v1/booking/{booking},PUT,{{base_url}}/api/v1/bookings/:booking,YES
v1/booking,[DELETE] api/v1/booking/{booking},DELETE,{{base_url}}/api/v1/bookings/:booking,YES
v1/booking,[PATCH] /api/v1/bookings/{booking}/handle,PATCH,{{base_url}}/api/v1/bookings/:booking/handle,YES
v1/booking,[GET] api/v1/bookings/by-initiator,GET,{{base_url}}/api/v1/bookings/by-initiator?initiated_by=customer,NO
v1/admin/activities,[GET] api/v1/activities,GET,{{base_url}}/api/v1/activities?page=1&limit=3&log_type[]=manual_log,NO
v1/admin/activities,[GET] api/v1/activities/manual-log,POST,{{base_url}}/api/v1/activities/manual-log,NO
v1/admin/activities,[GET] api/v1/activities/{activity},GET,{{base_url}}/api/v1/activities/:activity,NO
v1/admin/activities,[DELETE] api/v1/activities/{activity},DELETE,{{base_url}}/api/v1/activities/:activity,YES
v1/admin/regions,[GET] api/v1/admin/regions,GET,{{base_url}}/api/v1/admin/regions,NO
v1/admin/regions,[POST] api/v1/admin/regions,POST,{{base_url}}/api/v1/admin/regions,NO
v1/admin/regions,[GET] api/v1/admin/regions/{region},GET,{{base_url}}/api/v1/admin/regions/:region,NO
v1/admin/regions,[PUT] api/v1/admin/regions/{region},PUT,{{base_url}}/api/v1/admin/regions/:region,YES
v1/admin/regions,[DELETE] api/v1/admin/regions/{region},DELETE,{{base_url}}/api/v1/admin/regions/:region,YES
v1/admin/cities,[GET] api/v1/admin/cities,GET,{{base_url}}/api/v1/admin/cities,NO
v1/admin/cities,[POST] api/v1/admin/cities,POST,{{base_url}}/api/v1/admin/cities,NO
v1/admin/cities,[GET] api/v1/admin/cities/{city},GET,{{base_url}}/api/v1/admin/cities/:city,NO
v1/admin/cities,[PUT] api/v1/admin/cities/{city},PUT,{{base_url}}/api/v1/admin/cities/:city,YES
v1/admin/cities,[DELETE] api/v1/admin/cities/{city},DELETE,{{base_url}}/api/v1/admin/cities/:city,YES
v1/admin/sub-cities,[GET] api/v1/admin/sub-cities,GET,{{base_url}}/api/v1/admin/sub-cities,NO
v1/admin/sub-cities,[POST] api/v1/admin/sub-cities,POST,{{base_url}}/api/v1/admin/sub-cities,NO
v1/admin/sub-cities,[GET] api/v1/admin/sub-cities/{sub_city},GET,{{base_url}}/api/v1/admin/sub-cities/:sub_city,NO
v1/admin/sub-cities,[PUT] api/v1/admin/sub-cities/{sub_city},PUT,{{base_url}}/api/v1/admin/sub-cities/:sub_city,YES
v1/admin/sub-cities,[DELETE] api/v1/admin/sub-cities/{sub_city},DELETE,{{base_url}}/api/v1/admin/sub-cities/:sub_city,YES
v1/admin/accessibility-types,[GET] api/v1/admin/accessibility-types,GET,{{base_url}}/api/v1/admin/accessibility-types,NO
v1/admin/accessibility-types,[POST] api/v1/admin/accessibility-types,POST,{{base_url}}/api/v1/admin/accessibility-types,NO
v1/admin/accessibility-types,[GET] api/v1/admin/accessibility-types/{accessibility_type},GET,{{base_url}}/api/v1/admin/accessibility-types/:accessibility_type,NO
v1/admin/accessibility-types,[PUT] api/v1/admin/accessibility-types/{accessibility_type},PUT,{{base_url}}/api/v1/admin/accessibility-types/:accessibility_type,YES
v1/admin/accessibility-types,[DELETE] api/v1/admin/accessibility-types/{accessibility_type},DELETE,{{base_url}}/api/v1/admin/accessibility-types/:accessibility_type,YES
v1/admin/amenity-type-categories,[GET] api/v1/admin/amenity-type-categories,GET,{{base_url}}/api/v1/admin/amenity-type-categories,NO
v1/admin/amenity-type-categories,[POST] api/v1/admin/amenity-type-categories,POST,{{base_url}}/api/v1/admin/amenity-type-categories,NO
v1/admin/amenity-type-categories,[GET] api/v1/admin/amenity-type-categories/{amenity_type_category},GET,{{base_url}}/api/v1/admin/amenity-type-categories/:amenity_type_category,NO
